# Fission Isotope Spectra
#  U235, Pu239, Pu241: Log-linear Interpolation of reported Huber spectra
#  U238: Log-linear Interpolation of Muller spectra 
#    
# The columns have the following definitions:
#   Enu: Antineutrino energy [MeV]
#   dNdE_XXX: Antineutrino spectrum [antineutrinos MeV^-1 fission^-1]
#    Enu      dNdE_U235      dNdE_U238     dNdE_Pu239     dNdE_Pu241
     1.8        1.50542        1.64179        1.22781        1.42537
    1.81        1.49556        1.63329        1.21996        1.41661
    1.82        1.48577        1.62484        1.21216         1.4079
    1.83        1.47603        1.61643        1.20442        1.39925
    1.84        1.46636        1.60807        1.19672        1.39065
    1.85        1.45676        1.59975        1.18906         1.3821
    1.86        1.44722        1.59148        1.18146         1.3736
    1.87        1.43774        1.58324        1.17391        1.36516
    1.88        1.42832        1.57505         1.1664        1.35677
    1.89        1.41896         1.5669        1.15895        1.34843
     1.9        1.40967         1.5588        1.15154        1.34014
    1.91        1.40043        1.55073        1.14418         1.3319
    1.92        1.39126        1.54271        1.13686        1.32371
    1.93        1.38214        1.53473        1.12959        1.31558
    1.94        1.37309        1.52679        1.12237        1.30749
    1.95         1.3641        1.51889         1.1152        1.29945
    1.96        1.35516        1.51103        1.10807        1.29146
    1.97        1.34628        1.50321        1.10098        1.28352
    1.98        1.33746        1.49543        1.09394        1.27563
    1.99         1.3287         1.4877        1.08695        1.26779
       2           1.32           1.48           1.08           1.26
    2.01        1.31135        1.47234         1.0731        1.25225
    2.02        1.30276        1.46473        1.06623        1.24456
    2.03        1.29423        1.45715        1.05942        1.23691
    2.04        1.28575        1.44961        1.05265         1.2293
    2.05        1.27733        1.44211        1.04592        1.22175
    2.06        1.26896        1.43465        1.03923        1.21424
    2.07        1.26065        1.42723        1.03258        1.20677
    2.08        1.25239        1.41984        1.02598        1.19935
    2.09        1.24419         1.4125        1.01942        1.19198
     2.1        1.23604        1.40519        1.01291        1.18465
    2.11        1.22794        1.39792        1.00643        1.17737
    2.12         1.2199        1.39069       0.999997        1.17014
    2.13        1.21191        1.38349       0.993603        1.16294
    2.14        1.20397        1.37633       0.987251        1.15579
    2.15        1.19608        1.36921       0.980939        1.14869
    2.16        1.18825        1.36213       0.974668        1.14163
    2.17        1.18046        1.35508       0.968437        1.13461
    2.18        1.17273        1.34807       0.962245        1.12764
    2.19        1.16505         1.3411       0.956094         1.1207
     2.2        1.15742        1.33416       0.949981        1.11382
    2.21        1.14983        1.32725       0.943908        1.10697
    2.22         1.1423        1.32039       0.937873        1.10016
    2.23        1.13482        1.31356       0.931877         1.0934
    2.24        1.12739        1.30676        0.92592        1.08668
    2.25           1.12            1.3           0.92           1.08
    2.26        1.11098        1.29364       0.910973        1.07187
    2.27        1.10203        1.28731       0.902034        1.06379
    2.28        1.09316        1.28101       0.893184        1.05578
    2.29        1.08435        1.27475        0.88442        1.04783
     2.3        1.07562        1.26851       0.875742        1.03994
    2.31        1.06696        1.26231       0.867149         1.0321
    2.32        1.05836        1.25613        0.85864        1.02433
    2.33        1.04984        1.24998       0.850215        1.01661
    2.34        1.04138        1.24387       0.841873        1.00896
    2.35          1.033        1.23778       0.833613        1.00136
    2.36        1.02468        1.23173       0.825433       0.993816
    2.37        1.01643         1.2257       0.817334        0.98633
    2.38        1.00824        1.21971       0.809314       0.978901
    2.39        1.00012        1.21374       0.801373       0.971528
     2.4       0.992064         1.2078        0.79351       0.964211
    2.41       0.984075        1.20189       0.785724       0.956948
    2.42       0.976149        1.19601       0.778015       0.949741
    2.43       0.968287        1.19016       0.770381       0.942587
    2.44       0.960489        1.18434       0.762822       0.935488
    2.45       0.952753        1.17855       0.755337       0.928442
    2.46        0.94508        1.17278       0.747925       0.921449
    2.47       0.937469        1.16704       0.740587       0.914509
    2.48       0.929918        1.16133        0.73332       0.907621
    2.49       0.922429        1.15565       0.726125       0.900785
     2.5          0.915           1.15          0.719          0.894
    2.51       0.908707        1.14359       0.714752       0.888998
    2.52       0.902457        1.13721       0.710529       0.884024
    2.53       0.896251        1.13087       0.706331       0.879078
    2.54       0.890087        1.12457       0.702158        0.87416
    2.55       0.883965         1.1183        0.69801       0.869269
    2.56       0.877885        1.11207       0.693886       0.864406
    2.57       0.871848        1.10587       0.689786       0.859569
    2.58       0.865851         1.0997       0.685711        0.85476
    2.59       0.859896        1.09357        0.68166       0.849978
     2.6       0.853982        1.08747       0.677632       0.845222
    2.61       0.848109        1.08141       0.673629       0.840493
    2.62       0.842276        1.07538       0.669649       0.835791
    2.63       0.836483        1.06939       0.665692       0.831115
    2.64        0.83073        1.06343       0.661759       0.826465
    2.65       0.825017         1.0575        0.65785       0.821841
    2.66       0.819343         1.0516       0.653963       0.817243
    2.67       0.813708        1.04574       0.650099        0.81267
    2.68       0.808111        1.03991       0.646258       0.808123
    2.69       0.802554        1.03411        0.64244       0.803602
     2.7       0.797034        1.02835       0.638644       0.799106
    2.71       0.791552        1.02261       0.634871       0.794635
    2.72       0.786108        1.01691        0.63112       0.790189
    2.73       0.780702        1.01124       0.627392       0.785768
    2.74       0.775332        1.00561       0.623685       0.781372
    2.75           0.77              1           0.62          0.777
    2.76       0.764847       0.994718       0.615415       0.771043
